audit_year,Country,Hospital/Site,Hospital Beds (HC),Diabetic Patients (BA),Prevalence of diabetes,Percentage White,Percentage emergency,Percentage Mangement of diabetes,Percentage other medical,Percentage Non Medical,Percentage Diabetes Type 1,Percentage Diabetes Type 2 - Insulin,Percentage Diabetes Type 2 - Non insulin,Percentage Diabetes Type 2 - Diet only,Percentage Diabetes Type Other,Nursing hours,Consultant hours,Dietician hours,Podiatrist hours, Blood Glucose monitoring Days , Appropriate Days , Good Diabetes Days ,Visit by specialist diabetes team,Medication errors,prescription errors,management errors,Insulin Errors,Admitted with foot disease,Seen by the MDT within 24 hours,Foot Risk Assessment completed within 24 hours,Foot Risk Assessment completed during the hospital stay,% Severe Hypo,% Minor Hypo,Meals Suitable,Meals Timing,Meals Choice,Staff Knowledge - Answer Qs,Staff Knowledge - Emotional support,Staff Knowledge - Work together,Overall Satisfaction,Patient reported unexpected high,Patient reported unexpected low,Able to take control of diabetes care,Staff aware of diabetes,some all or most staff know enough about diabetes,Percentage renal replacement therapy
2010,England,Hospital,357,58,16.20%,100.00%,93.10%,1.80%,80.00%,18.20%,8.60%,39.70%,43.10%,8.60%,0.00%,0.52,0.34,0.65,0.12,6.91,6.72,4.24,22.80%,26.40%,26.40%,1.90%,18.90%,1.70%,0.00%,5.20%,7.10%,6.90%,6.90%,85.00%,73.70%,76.20%,43.80%,65.00%,45.00%,85.00%,33.30%,27.80%,70.60%,90.00%,65.00%,1.80%
2010,England,Hospital,517,97,18.80%,96.90%,92.60%,6.30%,67.70%,26.00%,5.20%,22.90%,57.30%,14.60%,0.00%,0.19,0.16, -   ,0.04,6.03,5.83,4.48,24.40%,28.30%,22.80%,15.20%,17.40%,4.30%,75.00%,35.10%,67.20%,6.20%,14.40%,92.30%,76.70%,74.50%,53.60%,65.30%,33.30%,88.50%,13.20%,20.80%,64.60%,90.70%,76.00%,1.10%
2010,England,Hospital,409,67,16.40%,98.50%,92.30%,9.10%,66.70%,24.20%,4.70%,29.70%,34.40%,31.30%,0.00%,0.09,0.09,0.03,0.03,6.38,5.79,4.53,27.60%,36.70%,21.70%,25.00%,21.70%,11.70%,42.90%,30.60%,13.40%,9.00%,16.40%,100.00%,89.50%,86.40%,69.20%,90.00%,63.60%,86.40%,15.80%,31.60%,83.30%,95.20%,100.00%,1.50%
2010,England,Hospital,837,94,11.20%,97.80%,77.20%,12.10%,61.50%,26.40%,5.50%,33.00%,42.90%,18.70%,0.00%,0.68,0.07,0.1,0.01,6.22,5.68,4.39,26.30%,17.60%,13.20%,8.80%,11.00%,15.10%,66.70%,27.60%,27.90%,9.60%,17.00%,96.60%,74.10%,81.50%,52.20%,70.80%,41.40%,80.00%,25.00%,32.10%,82.10%,93.10%,65.50%,3.40%
2010,England,Hospital,665,61,9.20%,98.30%,70.00%,10.30%,58.60%,31.00%,6.80%,30.50%,45.80%,16.90%,0.00%,0.52,0.64, -   ,0.05,5.25,4.75,2.94,19.20%,47.20%,39.60%,24.50%,24.50%,12.10%,66.70%,25.40%,17.90%,13.10%,24.60%,100.00%,88.90%,100.00%,50.00%,55.60%,44.40%,88.90%,11.10%,44.40%,33.30%,100.00%,77.80%,1.70%
2010,England,Hospital,989,144,14.60%,95.00%,85.20%,5.10%,57.20%,37.70%,8.50%,30.30%,46.50%,14.80%,0.00%,0.21,0.11, -   ,0.05,6.49,6.25,4.27,24.60%,33.10%,20.60%,17.60%,16.90%,9.90%,83.30%,14.20%,13.00%,7.60%,13.90%,83.30%,52.80%,70.30%,47.80%,71.00%,34.20%,78.90%,34.20%,23.70%,66.70%,94.90%,59.00%,0.00%
2010,England,Site,1700,277,16.30%,90.00%,85.80%,8.80%,64.70%,26.50%,5.10%,31.90%,43.60%,19.40%,0.00%,0.57,0.07, -   ,0.04,6.01,5.59,3.76,43.50%,34.90%,26.70%,13.60%,20.20%,11.20%,68.00%,12.30%,18.30%,10.50%,17.30%,82.90%,71.00%,66.20%,42.90%,69.60%,43.10%,73.00%,21.70%,29.00%,56.30%,91.00%,58.10%,3.70%
2010,England,Hospital,830,119,14.30%,96.50%,85.30%,5.10%,59.00%,35.90%,11.90%,24.60%,43.20%,20.30%,0.00%,0.63,0.08,0.03,0.03,6.02,5.48,3.85,15.60%,40.70%,34.50%,21.20%,30.10%,7.90%,57.10%,24.10%,21.60%,10.10%,16.00%,86.30%,81.60%,70.50%,45.00%,68.10%,34.60%,79.60%,24.00%,18.00%,56.30%,80.80%,61.50%,10.30%
2010,England,Hospital,283,33,11.70%,100.00%,97.00%,6.50%,83.90%,9.70%,6.10%,36.40%,39.40%,18.20%,0.00%,1.08,0.06,0.03,0.09,5.69,5.63,4.13,20.70%,16.10%,16.10%,3.20%,16.10%,6.10%,0.00%,84.80%,42.90%,6.10%,12.10%,82.40%,100.00%,83.30%,66.70%,61.50%,33.30%,100.00%,21.40%,21.40%,76.90%,93.80%,78.60%,0.00%
2010,England,Hospital,507,65,12.80%,93.40%,85.20%,6.30%,76.20%,17.50%,1.60%,25.40%,54.00%,19.00%,0.00%,1.38,0.18, -   ,0.02,4.73,4.41,2.61,43.40%,42.40%,20.30%,27.10%,16.90%,5.00%,100.00%,10.20%,5.20%,10.80%,29.20%,93.80%,92.90%,87.50%,83.30%,60.00%,50.00%,81.30%,25.00%,37.50%,42.90%,87.50%,62.50%,1.60%
2010,England,Hospital,880,52,5.90%,70.00%,75.00%,12.20%,63.40%,24.40%,14.00%,30.00%,50.00%,6.00%,0.00%,2.16,0.58, -   , -   ,6.33,6.11,2.95,37.50%,31.60%,15.80%,15.80%,21.10%,22.90%,50.00%,28.60%,14.30%,11.50%,15.40%,88.20%,76.50%,68.80%,54.50%,60.00%,42.10%,78.90%,27.80%,50.00%,73.70%,94.10%,61.10%,9.80%
2010,England,Hospital,376,79,21.00%,76.90%,96.10%,19.70%,65.80%,14.50%,5.20%,33.80%,48.10%,13.00%,0.00%,0.63,0.1,0.54,0.22,6.12,5.66,3.75,31.30%,43.40%,18.40%,34.20%,30.30%,13.50%,75.00%,21.30%,12.30%,22.80%,25.30%,84.00%,70.80%,64.00%,45.00%,80.80%,33.30%,70.40%,41.70%,29.20%,45.80%,75.00%,43.50%,1.40%
2010,England,Site,280,28,10.00%,76.00%,89.30%,14.80%,55.60%,29.60%,21.40%,35.70%,35.70%,7.10%,0.00%,0.89,0.43,0.36, -   ,6.32,5.86,3.5,50.00%,50.00%,46.20%,15.40%,26.90%,7.70%,100.00%,24.00%,11.50%,14.30%,21.40%,66.70%,57.90%,29.40%,53.80%,44.40%,28.60%,52.40%,33.30%,42.90%,57.10%,95.50%,45.00%,3.60%
2010,England,Hospital,251,42,16.70%,97.60%,97.60%,0.00%,77.50%,22.50%,5.10%,59.00%,25.60%,10.30%,0.00%,1.15,0.48,1.43,0.1,6.74,5.36,2.56,50.00%,39.00%,29.30%,17.10%,26.80%,14.30%,50.00%,9.50%,7.70%,9.50%,26.20%,91.30%,60.00%,57.10%,55.60%,60.90%,52.20%,79.20%,25.00%,33.30%,68.20%,76.00%,69.60%,0.00%
2010,England,Site,638,137,21.50%,98.50%,85.80%,9.00%,59.00%,32.10%,5.90%,35.60%,40.70%,17.80%,0.00%,0.65,0.09, -   ,0.01,6.4,6.31,3.05,37.50%,29.90%,18.90%,18.10%,19.70%,10.30%,57.10%,17.00%,28.30%,13.10%,24.80%,83.90%,73.80%,65.20%,56.50%,58.80%,55.40%,82.70%,28.00%,31.20%,67.80%,88.90%,67.00%,2.20%
2010,England,Hospital,290,68,23.40%,96.90%,87.50%,7.80%,59.40%,32.80%,2.90%,26.50%,55.90%,14.70%,0.00%,0.15,0.24,0.04,0.01,6.35,6.12,4.29,30.80%,43.30%,23.90%,29.90%,17.90%,0.00%,n/a,1.50%,7.30%,11.80%,35.30%,85.20%,83.30%,70.80%,46.70%,70.40%,33.30%,77.80%,30.40%,21.70%,75.00%,88.90%,59.30%,0.00%
2010,England,Hospital,386,48,12.40%,100.00%,89.40%,14.90%,57.40%,27.70%,4.30%,46.80%,36.20%,12.80%,0.00%,1.04,0.38, -   , -   ,6.22,5.58,3.35,22.50%,32.60%,18.60%,16.30%,25.60%,9.30%,0.00%,14.00%,12.80%,14.60%,25.00%,93.10%,78.60%,79.30%,50.00%,64.00%,35.70%,79.30%,20.70%,34.50%,65.50%,93.30%,63.30%,6.40%
2010,England,Hospital,351,49,14.00%,98.00%,91.80%,8.20%,63.30%,28.60%,4.10%,30.60%,44.90%,20.40%,0.00%,0.18,0.08,0.02, -   ,6.64,6.3,4.05,18.20%,37.50%,33.30%,18.80%,27.10%,8.20%,0.00%,10.20%,11.60%,16.30%,16.30%,96.20%,73.10%,76.90%,52.40%,57.10%,44.40%,88.90%,22.20%,29.60%,55.00%,100.00%,60.70%,2.10%
2010,England,Hospital,393,58,14.80%,100.00%,94.80%,12.30%,50.90%,36.80%,5.40%,33.90%,44.60%,16.10%,0.00%,0.43,0.16, -   ,0.03,6.23,5.17,3.79,34.50%,41.80%,30.90%,21.80%,23.60%,5.20%,100.00%,10.30%,15.00%,1.70%,10.30%,93.00%,90.50%,78.60%,58.30%,52.50%,60.50%,88.40%,27.90%,20.90%,52.60%,90.70%,76.70%,0.00%
2010,England,Hospital,651,123,18.90%,56.80%,73.60%,13.20%,56.20%,30.60%,10.30%,42.20%,37.10%,10.30%,0.00%,0.63,0.42,0.02,2.83,6.05,5.99,3.3,45.10%,38.90%,23.00%,24.80%,31.90%,10.90%,84.60%,30.70%,31.40%,13.00%,23.60%,72.20%,70.60%,72.20%,58.30%,64.70%,36.80%,78.90%,27.80%,38.90%,68.40%,77.80%,78.90%,11.70%
2010,England,Site,462,61,13.20%,100.00%,86.70%,18.30%,53.30%,28.30%,11.50%,29.50%,44.30%,14.80%,0.00%,0.7,0.23,0.08,0.06,5.73,5.63,2.75,30.50%,53.30%,35.00%,35.00%,28.30%,13.10%,100.00%,13.30%,29.10%,9.80%,13.10%,100.00%,87.00%,91.70%,60.00%,54.50%,45.80%,83.30%,45.50%,13.60%,77.30%,100.00%,62.50%,0.00%
2010,England,Hospital,827,124,15.00%,99.20%,78.90%,6.70%,65.00%,28.30%,9.00%,23.80%,50.80%,16.40%,0.00%,0.66,0.17, -   ,0.01,6.7,6.57,4.38,23.00%,22.90%,16.90%,10.20%,17.80%,2.50%,50.00%,22.10%,42.00%,9.70%,18.50%,92.30%,82.10%,70.00%,60.70%,75.00%,48.70%,85.40%,20.00%,27.50%,71.80%,90.50%,66.70%,5.00%
2010,England,Hospital,960,134,14.00%,86.20%,90.20%,8.20%,63.40%,28.40%,10.00%,26.90%,53.10%,10.00%,0.00%,0.38,0.05,0.03,0.01,6,5.36,3.65,28.00%,43.40%,28.70%,23.30%,28.70%,14.00%,7.10%,19.50%,10.30%,16.40%,22.40%,82.00%,69.40%,57.40%,56.00%,77.30%,32.00%,76.50%,20.80%,27.10%,70.80%,86.80%,63.30%,6.00%
2010,England,Hospital,140,14,10.00%,92.90%,76.90%,7.10%,64.30%,28.60%,0.00%,35.70%,57.10%,7.10%,0.00%,0.71,1.61,0.71, -   ,4,5.09,4.77,58.30%,0.00%,0.00%,0.00%,0.00%,0.00%,n/a,7.10%,0.00%,14.30%,35.70%,80.00%,60.00%,60.00%,n/a,33.30%,20.00%,80.00%,0.00%,0.00%,100.00%,80.00%,40.00%,0.00%
2010,England,Hospital,622,67,10.80%,78.80%,78.80%,13.40%,61.20%,25.40%,4.50%,43.90%,37.90%,13.60%,0.00%,0.27,0.01, -   ,0.18,6.77,5.99,3.97,69.80%,55.70%,44.30%,26.20%,49.20%,15.60%,37.50%,19.00%,37.30%,10.40%,19.40%,77.80%,72.20%,64.70%,71.40%,66.70%,31.30%,83.30%,20.00%,33.30%,66.70%,89.50%,70.60%,10.20%
2010,England,Hospital,770,120,15.60%,98.30%,93.00%,9.40%,61.50%,29.10%,8.00%,35.70%,38.40%,17.90%,0.00%,0.13,0.25,0.02,0.03,6.31,6.16,3.76,25.80%,41.80%,31.80%,20.00%,30.00%,5.40%,66.70%,13.80%,16.20%,11.70%,16.70%,82.60%,82.20%,49.40%,56.90%,44.30%,37.20%,83.90%,23.50%,27.10%,66.30%,89.50%,61.90%,2.60%
2010,England,Hospital,313,46,14.70%,93.30%,90.50%,4.30%,69.60%,26.10%,6.70%,44.40%,31.10%,17.80%,0.00%,0.76,0.11, -   , -   ,6.67,6.17,3.41,32.50%,45.50%,34.10%,25.00%,31.80%,11.90%,0.00%,26.80%,7.80%,13.00%,26.10%,91.20%,82.10%,69.00%,60.00%,64.30%,43.80%,80.60%,34.40%,28.10%,59.30%,84.80%,68.80%,2.40%
2010,England,Hospital,869,118,13.60%,99.20%,88.90%,9.60%,59.10%,31.30%,9.40%,29.90%,51.30%,9.40%,0.00%,0.63,0.12, -   , -   ,4.68,5.63,3.72,29.60%,35.40%,26.50%,17.70%,20.40%,12.60%,64.30%,36.80%,25.70%,13.60%,25.40%,92.00%,80.00%,69.60%,58.30%,88.00%,30.80%,76.90%,26.90%,38.50%,66.70%,92.60%,63.00%,4.30%
2010,England,Hospital,813,109,13.40%,97.20%,86.00%,7.40%,71.30%,21.30%,10.30%,32.70%,41.10%,15.90%,0.00%,0.26,0.55,0.03,0.03,6.38,6,4.33,24.70%,42.60%,32.70%,24.80%,24.80%,10.30%,0.00%,15.00%,15.10%,12.80%,31.20%,82.10%,69.50%,72.10%,62.30%,70.70%,45.60%,77.90%,23.30%,33.30%,75.00%,94.30%,71.40%,0.90%
2010,England,Hospital,610,62,10.20%,93.50%,73.80%,5.10%,64.40%,30.50%,4.90%,36.10%,32.80%,26.20%,0.00%,0.05,0.16,0.02,0.1,5.56,4.87,2.45,80.40%,46.40%,30.40%,25.00%,32.10%,1.80%,100.00%,10.70%,94.20%,9.70%,16.10%,100.00%,76.50%,88.20%,69.20%,72.20%,58.80%,100.00%,33.30%,0.00%,72.20%,94.70%,83.30%,14.80%
2010,England,Hospital,277,60,21.70%,87.50%,90.00%,6.70%,71.70%,21.70%,5.10%,39.00%,37.30%,18.60%,0.00%,0.26,0.17, -   , -   ,5.1,3.69,2.92,26.80%,43.80%,35.40%,25.00%,35.40%,12.50%,85.70%,16.40%,17.10%,10.00%,13.30%,94.10%,82.40%,77.80%,77.80%,64.70%,44.40%,100.00%,29.40%,29.40%,66.70%,94.40%,77.80%,0.00%
2010,England,Hospital,n/a,40,n/a,100.00%,92.30%,7.50%,70.00%,22.50%,5.00%,37.50%,42.50%,15.00%,0.00%, n/a , n/a , n/a , n/a ,7,6.03,4.25,10.30%,20.00%,17.10%,8.60%,14.30%,7.90%,0.00%,47.40%,11.80%,15.00%,25.00%,100.00%,75.00%,83.30%,25.00%,80.00%,43.80%,87.50%,35.30%,47.10%,64.30%,94.40%,70.60%,0.00%
2010,England,Hospital,325,45,13.80%,97.70%,95.30%,13.60%,61.40%,25.00%,0.00%,42.90%,35.70%,21.40%,0.00%,0.94,0.18,0.04, -   ,5.7,5.56,3.76,92.70%,27.30%,11.40%,18.20%,20.50%,11.40%,40.00%,27.30%,60.00%,17.80%,31.10%,97.10%,74.20%,74.20%,62.50%,45.20%,58.80%,94.10%,27.30%,27.30%,74.20%,97.10%,67.60%,0.00%
2010,England,Hospital,468,67,14.30%,90.60%,92.40%,13.80%,66.20%,20.00%,4.50%,27.30%,51.50%,16.70%,0.00%,0.9,0.15,0.16,0.24,6.3,5.86,3.45,37.90%,45.00%,25.00%,28.30%,25.00%,9.50%,50.00%,33.30%,18.20%,14.90%,31.30%,90.00%,61.10%,45.00%,40.00%,73.30%,35.00%,80.00%,26.30%,26.30%,77.80%,94.40%,65.00%,0.00%
2010,England,Hospital,362,46,12.70%,97.80%,89.10%,2.30%,68.20%,29.50%,11.10%,22.20%,46.70%,20.00%,0.00%,0.82,0.26,0.26, -   ,5.53,4.42,2.04,29.00%,22.70%,9.10%,18.20%,15.90%,12.50%,0.00%,16.70%,7.90%,4.30%,19.60%,100.00%,84.60%,85.70%,71.40%,72.70%,76.90%,92.90%,30.80%,61.50%,66.70%,100.00%,84.60%,0.00%
2010,England,Hospital,450,29,6.40%,89.30%,93.10%,6.90%,55.20%,37.90%,7.70%,50.00%,42.30%,0.00%,0.00%,1.29,1.21, -   ,0.17,6.82,5.75,4.14,12.00%,50.00%,46.40%,14.30%,42.90%,15.40%,25.00%,24.10%,20.40%,6.90%,34.50%,80.00%,70.00%,66.70%,75.00%,100.00%,20.00%,70.00%,20.00%,30.00%,60.00%,90.00%,30.00%,0.00%
2010,England,Hospital,663,84,12.70%,91.40%,90.00%,14.80%,60.50%,24.70%,10.00%,21.30%,55.00%,13.80%,0.00%,2.7,0.19,0.05,0.06,4.98,4.51,3.7,38.20%,23.00%,12.20%,13.50%,12.20%,9.00%,33.30%,21.50%,29.50%,11.90%,20.20%,85.10%,71.10%,71.10%,50.00%,39.00%,50.00%,87.00%,23.30%,27.90%,45.50%,88.20%,67.30%,9.10%
2010,England,Hospital,278,64,23.00%,56.30%,90.60%,8.20%,78.70%,13.10%,3.20%,36.50%,50.80%,9.50%,0.00%,0.7,0.05,0.03,0.41,6.49,5.96,4.67,79.40%,19.00%,19.00%,1.60%,11.10%,24.20%,66.70%,63.90%,66.70%,12.50%,17.20%,90.90%,66.70%,60.00%,37.50%,66.70%,27.30%,81.80%,36.40%,45.50%,63.60%,100.00%,63.60%,1.60%
2010,England,Site,740,132,17.80%,55.10%,78.60%,4.60%,77.90%,17.60%,7.60%,35.90%,45.80%,10.70%,0.00%,0.24,0.11,0.02,0.02,6.55,6.21,3.33,24.40%,49.60%,34.10%,31.80%,34.90%,8.50%,18.20%,0.00%,16.20%,13.60%,28.00%,73.20%,58.50%,43.90%,53.10%,60.00%,37.20%,81.40%,51.20%,34.90%,66.70%,95.30%,61.90%,12.70%
2010,England,Hospital,471,62,13.20%,96.70%,87.10%,4.80%,58.10%,37.10%,3.20%,40.30%,37.10%,19.40%,0.00%,0.16,0.15,0.24,0.21,6.59,6.42,3.96,36.40%,28.30%,15.10%,15.10%,18.90%,12.10%,80.00%,7.40%,22.50%,12.90%,16.10%,100.00%,80.00%,89.30%,35.70%,75.00%,35.70%,87.10%,22.20%,14.80%,73.30%,90.30%,62.10%,1.60%
2010,England,Hospital,501,101,20.20%,90.70%,96.00%,4.00%,65.70%,30.30%,8.20%,34.00%,32.00%,25.80%,0.00%,0.24,0.1,0.04,0.01,6.37,5.65,4.42,33.30%,34.80%,28.30%,14.10%,25.00%,14.40%,36.40%,13.20%,18.20%,5.00%,18.80%,100.00%,82.40%,78.90%,33.30%,84.60%,31.60%,75.00%,26.30%,42.10%,66.70%,85.00%,50.00%,6.70%
2010,England,Hospital,368,48,13.00%,97.90%,93.80%,12.50%,56.30%,31.30%,10.40%,56.30%,25.00%,8.30%,0.00%,0.78,0.17,0.04,0.06,7,6.72,4.26,83.00%,12.80%,8.50%,6.40%,12.80%,10.40%,40.00%,34.00%,91.70%,4.20%,22.90%,100.00%,85.00%,95.20%,44.40%,76.50%,36.40%,77.30%,26.10%,26.10%,75.00%,95.50%,71.40%,2.10%
2010,England,Hospital,98,73,74.50%,100.00%,95.50%,6.90%,59.70%,33.30%,4.40%,11.80%,42.60%,41.20%,0.00%,0.41,0.22,0.23, -   ,6.18,6.18,4.03,20.30%,38.80%,31.30%,19.40%,11.90%,8.60%,66.70%,13.90%,8.00%,9.60%,13.70%,92.60%,85.20%,84.60%,61.10%,51.90%,48.30%,86.20%,32.10%,21.40%,56.00%,96.60%,85.70%,5.70%
2010,England,Hospital,474,92,19.40%,94.40%,91.70%,5.90%,63.50%,30.60%,7.90%,27.00%,55.10%,10.10%,0.00%,0.41,0.07, -   , -   ,6.31,6.23,5.04,18.10%,35.70%,31.00%,10.70%,19.00%,18.60%,8.30%,29.50%,39.70%,13.00%,25.00%,88.50%,64.00%,68.00%,55.60%,66.70%,55.60%,81.50%,41.70%,41.70%,68.00%,92.60%,72.00%,2.30%
2010,England,Hospital,447,63,14.10%,98.40%,82.30%,9.50%,54.00%,36.50%,12.70%,33.30%,42.90%,11.10%,0.00%,1.13,0.07, -   ,0.02,6.37,6.17,3.85,28.30%,36.10%,31.10%,14.80%,23.00%,12.70%,37.50%,12.70%,8.80%,9.50%,14.30%,80.60%,85.70%,71.90%,47.60%,82.40%,34.30%,75.60%,29.40%,29.40%,74.30%,80.50%,60.50%,3.20%
2010,England,Hospital,255,30,11.80%,80.80%,86.70%,20.70%,44.80%,34.50%,0.00%,37.90%,55.20%,6.90%,0.00%,1.23,0.53,0.13,0.13,5.47,5.81,2.91,44.00%,40.00%,26.70%,26.70%,10.00%,10.30%,33.30%,37.00%,17.60%,6.70%,16.70%,71.40%,25.00%,57.10%,25.00%,85.70%,0.00%,75.00%,25.00%,37.50%,66.70%,100.00%,75.00%,0.00%
2010,England,Hospital,281,52,18.50%,42.60%,83.70%,14.00%,58.00%,28.00%,6.10%,44.90%,32.70%,16.30%,0.00%,1.19,1.73,1.29, -   ,6.25,5.37,3.46,27.50%,50.00%,32.60%,32.60%,32.60%,6.10%,0.00%,11.60%,9.10%,7.70%,15.40%,72.70%,55.20%,53.80%,56.50%,31.80%,40.60%,66.70%,42.40%,21.20%,46.40%,82.90%,66.70%,2.10%
2010,England,Hospital,836,158,18.90%,73.20%,91.40%,6.00%,78.80%,15.20%,5.20%,31.60%,57.40%,5.80%,0.00%,0.43,0.08, -   , -   ,6.27,6.15,2.95,19.10%,49.30%,27.70%,35.80%,28.40%,5.30%,25.00%,35.00%,72.20%,12.00%,27.20%,76.50%,56.30%,66.70%,43.80%,50.00%,27.80%,55.60%,46.70%,60.00%,62.50%,77.80%,55.60%,2.00%
2010,England,Hospital,500,86,17.20%,89.90%,89.40%,8.40%,74.70%,16.90%,3.60%,40.50%,45.20%,10.70%,0.00%,0.83,0.14,0.05,0.01,6.06,5.23,4.78,39.70%,23.50%,9.90%,13.60%,11.10%,7.80%,100.00%,32.90%,89.90%,10.50%,19.80%,87.00%,93.50%,88.60%,44.40%,78.60%,50.00%,82.60%,22.20%,31.10%,74.40%,73.30%,63.00%,0.00%
2010,England,Hospital,371,62,16.70%,100.00%,96.70%,14.50%,54.80%,30.60%,6.60%,21.30%,50.80%,21.30%,0.00%,0.11,0.03,0.03,0.02,6.23,5.97,4.56,31.10%,21.10%,12.30%,10.50%,5.30%,8.10%,60.00%,19.70%,27.50%,9.70%,24.20%,90.90%,65.00%,90.00%,62.50%,59.10%,40.90%,90.90%,9.50%,28.60%,61.90%,95.50%,68.20%,1.60%
2010,England,Site,1619,237,14.60%,85.80%,83.40%,3.50%,64.00%,32.50%,5.60%,27.60%,50.00%,16.80%,0.00%,0.32,0.07, -   ,0.01,6.05,6.12,4.18,15.90%,29.20%,13.90%,19.10%,17.20%,6.40%,50.00%,32.70%,30.10%,13.50%,22.80%,69.40%,63.20%,54.20%,63.00%,64.30%,37.10%,71.00%,19.40%,30.60%,65.00%,93.70%,65.10%,5.80%
2010,England,Site,507,70,13.80%,98.60%,87.00%,2.90%,59.40%,37.70%,8.70%,13.00%,49.30%,29.00%,0.00%,0.31,0.11,0.11,0.06,5.96,5.64,4.02,26.10%,20.60%,9.50%,14.30%,9.50%,3.00%,100.00%,20.00%,25.00%,10.00%,8.60%,85.70%,66.70%,68.40%,53.30%,68.40%,47.60%,85.70%,9.50%,19.00%,73.70%,90.50%,60.00%,0.00%
2010,England,Hospital,980,136,13.90%,79.90%,74.60%,5.30%,64.40%,30.30%,6.10%,37.10%,49.20%,7.60%,0.00%,0.28,0.01, -   ,0.03,6.24,5.99,3.29,25.20%,27.60%,11.20%,17.20%,20.90%,9.00%,33.30%,9.20%,10.90%,10.30%,19.90%,91.20%,59.40%,51.60%,38.10%,60.70%,27.80%,75.00%,37.10%,42.90%,64.50%,91.90%,64.70%,9.60%
2010,England,Site,1387,140,10.10%,96.80%,75.20%,10.70%,58.00%,31.30%,6.80%,34.10%,34.10%,25.00%,0.00%,0.31,0.03,0.01,0.01,5.76,5.44,3.59,20.50%,38.20%,30.10%,22.00%,33.30%,6.90%,66.70%,15.00%,36.60%,10.00%,25.00%,88.90%,75.60%,70.50%,34.00%,71.80%,45.20%,78.80%,22.70%,28.00%,68.50%,85.70%,60.70%,2.20%
2010,England,Site,782,71,9.10%,93.30%,87.30%,12.90%,71.40%,15.70%,10.10%,23.20%,46.40%,20.30%,0.00%,0.17,1.24,0.11, -   ,5.63,4.31,2.8,19.40%,51.60%,37.50%,26.60%,37.50%,8.60%,40.00%,0.00%,7.90%,15.50%,28.20%,80.00%,71.40%,73.30%,45.50%,76.90%,33.30%,73.30%,20.00%,33.30%,66.70%,86.70%,69.20%,1.50%
2010,England,Site,987,111,11.20%,99.10%,89.80%,4.60%,63.30%,32.10%,10.00%,25.50%,34.50%,30.00%,0.00%,0.4,0.19, -   ,0.07,5.77,5.77,3.5,14.30%,26.00%,15.00%,17.00%,16.00%,3.70%,75.00%,0.00%,39.70%,8.10%,20.70%,92.60%,79.20%,76.00%,73.70%,75.00%,51.90%,77.80%,29.60%,22.20%,76.00%,100.00%,70.40%,2.90%
2010,England,Hospital,850,164,19.30%,94.20%,86.00%,11.60%,56.70%,31.70%,6.10%,25.20%,52.10%,16.60%,0.00%,0.38,0.1,0.02, -   ,5.73,4.97,3.68,14.40%,40.90%,30.20%,18.80%,25.50%,9.00%,91.70%,13.30%,19.50%,5.50%,12.20%,81.80%,84.00%,65.30%,34.30%,73.20%,20.40%,69.10%,30.20%,20.80%,69.10%,85.70%,55.40%,3.00%
2010,England,Hospital,216,28,13.00%,82.60%,66.70%,7.10%,42.90%,50.00%,16.00%,36.00%,36.00%,12.00%,0.00%,1.88,0.29, -   ,0.79,6,5.75,2.16,40.00%,61.50%,38.50%,50.00%,50.00%,13.60%,33.30%,19.20%,37.50%,17.90%,17.90%,90.00%,75.00%,44.40%,83.30%,33.30%,40.00%,100.00%,57.10%,28.60%,100.00%,90.00%,60.00%,18.50%
2010,England,Hospital,80,12,15.00%,100.00%,100.00%,18.20%,81.80%,0.00%,25.00%,0.00%,58.30%,16.70%,0.00%,6.33,2.67,1.67,0.08,6.92,6.92,3.5,0.00%,33.30%,8.30%,25.00%,8.30%,0.00%,n/a,18.20%,58.30%,8.30%,25.00%,100.00%,100.00%,100.00%,100.00%,50.00%,66.70%,100.00%,33.30%,0.00%,33.30%,100.00%,100.00%,0.00%
2010,England,Hospital,547,76,13.90%,90.40%,90.50%,6.80%,64.40%,28.80%,6.60%,27.60%,57.90%,7.90%,0.00%,1.52,0.53,0.04,0.03,6.74,6.55,4.52,25.70%,28.90%,15.80%,18.40%,15.80%,9.50%,80.00%,21.70%,26.30%,18.40%,27.60%,76.00%,60.00%,58.30%,60.00%,62.50%,36.00%,76.00%,12.50%,20.80%,54.20%,83.30%,60.00%,4.30%
2010,England,Hospital,383,52,13.60%,89.80%,92.00%,5.80%,71.20%,23.10%,5.90%,39.20%,43.10%,11.80%,0.00%,0.94,0.1,0.04, -   ,5.76,4.91,3.45,31.80%,20.80%,16.70%,8.30%,14.60%,7.70%,66.70%,24.00%,30.80%,3.80%,21.20%,74.30%,75.80%,55.90%,47.10%,64.50%,22.90%,71.40%,30.60%,25.00%,67.70%,80.60%,57.10%,5.80%
2010,England,Hospital,75,16,21.30%,100.00%,9.10%,7.10%,57.10%,35.70%,0.00%,25.00%,31.30%,43.80%,0.00%,0.63,0.56,0.01,0.81,1.4,5.25,5.38,38.50%,18.80%,6.30%,12.50%,12.50%,12.50%,100.00%,56.30%,0.00%,0.00%,6.30%,100.00%,50.00%,45.50%,20.00%,37.50%,27.30%,75.00%,16.70%,8.30%,58.30%,91.70%,41.70%,0.00%
